Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
0.0,50.41937418712783,50.351811854555685,50.15224210585433,49.862545771552774,22.303705093731484,0.0,0.0,0.0,,53.88374913655426,52.86252730101544,51.864327761107326,50.874710272797664,49.32382322913132,32.74305556,0.38027420915655563,0.0
1.0,50.33767648758237,50.30004466835175,50.09766711851746,49.36014469199041,22.23773836867308,5.58,0.22681925,0.0,,53.795728382793854,52.75935993943157,51.76281350453279,50.77194438313322,48.973836502935235,16.5,0.19162916666666666,0.0
2.0,50.25644948284713,50.24518735564857,50.023172182937955,48.58160244099746,21.90360669625286,10.0,0.40648611111111116,0.0,,53.6715021524588,52.61541040688319,51.619631548716505,50.59008419072134,48.28263659127933,35.69722222,0.41458357250505556,0.0
3.0,50.189440408323996,50.18458371254385,49.97579469078187,48.4530102462822,22.212190979542605,0.0,0.0,0.0,,53.582367177777364,52.512246962761196,51.5163521542757,50.46527402897989,47.95286723988564,16.5,0.19162916666666666,0.0
4.0,50.124145174884106,50.12263308278474,49.92851911976341,48.32522148524462,22.50515549305225,0.0,0.0,0.0,,53.43905424896736,52.349375153565184,51.346216914434194,50.19453173053522,47.16195686080037,44.14305556,0.5126725424898888,0.0
5.0,50.0623633202311,50.057534438345556,49.88134525062405,48.198231138095814,22.783290870722652,0.0,0.0,0.0,,53.271946615630306,52.16080182212695,51.13451738420574,49.81557462236167,46.24204156837302,55.0,0.6387638888888889,0.0
6.0,49.99744202718715,49.99593859471405,49.83427286457702,48.07203421641009,23.04734772656882,0.0,0.0,0.0,,53.14478014200694,52.01597269794714,50.96642281657454,49.53210999327356,45.68901384286718,34.13888889,0.3964852623585834,0.0
7.0,49.93601399210067,49.9312127648219,49.787301743306095,47.946625762929024,23.298038680389123,0.0,0.0,0.0,,52.881667012535736,51.713920912935436,50.558045331882404,48.73852292390528,44.286317312312434,97.5,1.1323541666666666,0.0
8.0,49.87125657762686,49.86982120573457,49.736696548367156,47.778001254822,23.484162299600005,0.75,0.030486458333333334,0.0,,52.770600460480324,51.58257011539354,50.39036771341541,48.47950869296673,43.93503463708933,24.65694444,0.28636301306566664,0.0
9.0,49.810175164008164,49.80536490990645,49.6886199216973,47.639974326444595,23.695196363523106,0.25,0.010162152777777779,0.0,,52.67451850367312,51.468606783355476,50.249147573773264,48.27749773649112,43.682128581866884,17.5,0.20324305555555558,0.0
10.0,49.74595949642796,49.74450971929945,49.64196213726548,47.51726534836437,23.91309482884175,0.0,0.0,0.0,,52.50129359475939,51.25849634303861,49.94938974411738,47.78099818743092,43.0438008636291,50.46666667,0.5861142592979723,0.0
11.0,49.68527009656904,49.68048739039428,49.59540472569538,47.39532304609802,24.119963815188132,0.0,0.0,0.0,,52.403044693796296,51.1394656307954,49.79732374034427,47.57139403624458,42.810420102291666,17.5,0.20324305555555558,0.0
12.0,49.621422186800466,49.619980712425544,49.54894747105921,47.274142629516795,24.316361607386433,0.0,0.0,0.0,,52.1485777010101,50.814076895704844,49.30104539423379,46.78184687791056,41.918947140029346,79.7125,0.9257721180555556,0.0
13.0,49.561080350109904,49.55632503409744,49.50259015789372,47.15371933842034,24.50281823127004,0.0,0.0,0.0,,51.76462910000552,50.28680660946828,48.47820163908471,45.581639035977844,40.74576167744041,120.5,1.399473611111111,0.0
14.0,49.497598092034444,49.496164872863915,49.45633257119917,47.03404844234954,24.679836884081407,0.0,0.0,0.0,,51.15427864019295,49.38723345387298,47.13190923371708,43.878792544940225,39.359711634517105,173.4333333,2.014235462575833,0.0
