Timestep,Combined Electrical Input [kWh],DHW Electrical Input [kWh],SH Electrical Input [kWh],Combined Thermal Charge [kWhth],DHW Thermal Charge [kWhth],SH Thermal Charge [kWhth],DHW SOC [kWhth],SH SOC [kWhth],PV Generation [kWh],Net Wind Generation [kWh],PV Used [kWh],Wind Used [kWh],Grid Used [kWh],Electricity Cost [£],PV Cost [£],Wind Cost [£],Grid Cost [£]
3727.0,0.0,0.0,0.0,0.0,0.0,0.0,20.198014434949933,9.799660134506716,0.190600006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3728.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16130300858879,9.123683056759532,0.118897639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3729.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.13257987419885,16.83081667120591,0.089300003,0.0,0.089300003,0.0,3.6884777747777777,1.1696163023820332,0.0,0.0,1.1696163023820332
3730.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.075700513899548,25.624985316637172,0.0177575,0.0,0.0177575,0.0,3.7600202777777776,1.1923024300833331,0.0,0.0,1.1923024300833331
3731.0,0.0,0.0,0.0,0.0,0.0,0.0,20.047211124607326,25.289581230286203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732.0,0.0,0.0,0.0,0.0,0.0,0.0,19.990778242699246,24.415077859209678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733.0,2.692307692307692,2.692307692307692,0.0,7.0,7.0,0.0,28.145897780736572,23.627977849892147,0.0,0.0,0.0,0.0,2.692307692307692,0.8537307692307692,0.0,0.0,0.8537307692307692
3734.0,0.0,0.0,0.0,0.0,0.0,0.0,27.910122921293485,22.768600016510806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735.0,0.0,0.0,0.0,0.0,0.0,0.0,21.236114734204534,17.682575933697137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3736.0,0.0,0.0,0.0,0.0,0.0,0.0,21.143456166087038,16.60339817807447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09906636422148,15.314300724545339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738.0,0.0,0.0,0.0,0.0,0.0,0.0,21.060885199940007,14.431061085290672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3739.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03017237250892,10.829478385025373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3740.0,0.0,0.0,0.0,0.0,0.0,0.0,20.92159595102674,10.016836051255385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3741.0,0.0,0.0,0.0,0.0,0.0,0.0,20.859366574201612,9.126544341579985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3742.0,0.0,0.0,0.0,0.0,0.0,0.0,20.80644828490137,8.503604504057297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3743.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771793993523104,4.6580280577218875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3744.0,0.0,0.0,0.0,0.0,0.0,0.0,20.712399874594034,4.354221338218903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3745.0,0.0,0.0,0.0,0.0,0.0,0.0,20.679055925558554,4.004121143516963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3746.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64929602062844,3.72658817394387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3747.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.619615978531495,11.2322446842083,0.0,0.0,0.0,0.0,3.7777777777777777,1.1979333333333333,0.0,0.0,1.1979333333333333
3748.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.590015479551308,19.070268227115,0.0,0.0,0.0,0.0,3.7777777777777777,1.1979333333333333,0.0,0.0,1.1979333333333333
3749.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56049440975742,17.935861848218256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3750.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53105245121338,17.299489108746073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3751.0,0.0,0.0,0.0,0.0,0.0,0.0,20.50168949059027,16.257666696117386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3752.0,0.0,0.0,0.0,0.0,0.0,0.0,20.472405211721632,15.679650580841065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3753.0,0.0,0.0,0.0,0.0,0.0,0.0,20.443199501876876,11.00682120631636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
